FeatureIdx,Average Feature Area_small,Average Feature Area_mod,Average Feature Area_large,Maximum Inscribed Circle Radius_small,Maximum Inscribed Circle Radius_mod,Maximum Inscribed Circle Radius_large,Variance Feature Orientation_small,Variance Feature Orientation_mod,Variance Feature Orientation_large,Std Dev Inscribed Circle Radius_small,Std Dev Inscribed Circle Radius_mod,Std Dev Inscribed Circle Radius_large,Maximum Feature Area_small,Maximum Feature Area_mod,Maximum Feature Area_large,Feature Unit Cell Size_small,Feature Unit Cell Size_mod,Feature Unit Cell Size_large,Average
1,0.0,0.9494959193470955,0.00024354845683027641,0.0,0.0,0.6306385894310224,1.0,0.0,0.0,0.0,0.0,0.8641061746616423,0.11828895604513354,0.5832482124616956,0.0,0.0,1.0,0.0,16.41666667
2,0.5448789597280521,0.03781100627963261,0.0,0.3791246598986396,0.05837814143977712,0.0,1.0,0.0,0.0,0.12529805731710209,0.39284168213983656,0.0,0.793287179131288,0.0,0.0,1.0,0.0,0.0,26.5
3,0.0,0.0,0.19112294283374756,0.06491936677174286,0.6106487570791501,0.0,1.0,0.0,0.0,0.07929829743583625,0.5170499867568075,0.0,0.0,0.0,0.15843423740301604,0.0,1.0,0.0,12.25
4,0.0006730916905843544,0.9518037786630607,7.899485012885925e-05,0.866679871538986,0.0,0.0,1.0,0.0,0.0,0.9839121439410169,0.0,0.0,0.18471274734922755,0.48081132350795275,0.0,1.0,0.0,0.0,12.0
5,0.0,0.0,0.12259984634662391,0.2762781480618034,0.19589419566047395,0.0,1.0,0.0,0.0,0.4023664601956983,0.0,0.0,0.0,1.1585303181916603e-05,0.09456392198110254,0.0,1.0,0.0,11.41666667
6,0.49346009071416974,0.0560386228526826,0.0,0.0,0.0,0.8088878205644809,0.8873053084625936,0.11269469153740637,0.0,0.0,0.0,0.7113756571446461,0.007641930183254125,0.8996532998837006,3.1501303672814397e-06,0.0,0.0,1.0,42.08333333
7,0.8095188966007958,0.0,0.0,0.44705478434476253,0.0,0.0,0.8669574555592431,0.13304254444075686,0.0,0.7717599858947912,0.0,0.0,0.7185292335145463,0.0015747651746605864,0.0,1.0,0.0,0.0,40.58333333
8,0.38511698358688623,0.10276034052798967,0.0,0.0,0.0,0.933899372192139,0.0,0.8557997135543236,0.0416423414011474,0.0,0.0,0.7998510054324303,0.013520301322917538,0.8666277542682037,0.0,0.0,0.0,1.0,57.625
9,0.0,0.6506961113778205,0.0103308466582086,0.0,0.0,0.7530980119096954,0.44623064596503126,0.5537693540349687,0.0,0.0,0.0,0.5569424239475499,0.0,0.6038819568231333,0.013464316621957984,0.0,0.0,1.0,14.83333333
10,0.0034112508035732403,0.9356350503052713,0.0,0.0,0.27779446990691736,0.04985494649867548,0.0,0.8854786758002757,0.026285224652156148,0.0,0.07764157820854159,0.060397785341603914,0.0,0.5505050505050505,0.01734051736240969,0.0,0.0,1.0,36.91666667
11,0.0,0.0,0.21060593863560703,0.0,0.9190192948880075,0.0006273737608051053,1.0,0.0,0.0,0.0,0.6942247403083346,0.006713221832713261,0.0,0.0,0.17693989009462774,0.0,1.0,0.0,10.91666667
12,0.0,0.8735157625220038,0.0014071970990551022,0.0,0.0,0.16254754982242192,0.9411696692175052,0.058830330782494736,0.0,0.0,0.0,0.07961830171472742,0.0,0.4516735987324223,0.025831200715766067,0.0,0.0,1.0,18.16666667
